,node_id,geometry,total_positions,unique_participants,submuni_index,muni_index,node_type,node_x,node_y
112,112,POINT (207699.66843920693 444684.5205212393),7,,23.0,1.0,submunicipality,207699.66843920693,444684.5205212393
113,113,POINT (210611.7245638975 442537.6259235215),4,,25.0,1.0,submunicipality,210611.7245638975,442537.6259235215
114,114,POINT (211450.07912186376 443595.65441278915),2,,27.0,1.0,submunicipality,211450.07912186376,443595.65441278915
115,115,POINT (210226.02733090217 443470.8734099808),2,,28.0,1.0,submunicipality,210226.02733090217,443470.8734099808
116,116,POINT (211027.33274196248 443965.8044892894),3,,29.0,1.0,submunicipality,211027.33274196248,443965.8044892894
117,117,POINT (208521.75563024235 444493.3162906135),9,,30.0,1.0,submunicipality,208521.75563024235,444493.3162906135
118,118,POINT (209446.40480668782 444800.2365979336),26,,33.0,1.0,submunicipality,209446.40480668782,444800.2365979336
119,119,POINT (211919.40716593555 444264.9004813122),4,,34.0,1.0,submunicipality,211919.40716593555,444264.9004813122
120,120,POINT (211507.03820417344 445843.9498235435),15,,35.0,1.0,submunicipality,211507.03820417344,445843.9498235435
121,121,POINT (210106.74892160343 445247.8198243651),2,,36.0,1.0,submunicipality,210106.74892160343,445247.8198243651
122,122,POINT (210304.3047886861 447229.24537429336),29,,42.0,1.0,submunicipality,210304.3047886861,447229.24537429336
123,123,POINT (209990.61611914463 448263.21731142624),7,,43.0,1.0,submunicipality,209990.61611914463,448263.21731142624
124,124,POINT (204559.0799037178 446462.42322883045),16,,46.0,2.0,submunicipality,204559.0799037178,446462.42322883045
125,125,POINT (202995.2960026009 447517.08239760686),3,,47.0,2.0,submunicipality,202995.2960026009,447517.08239760686
126,126,POINT (209033.3327711363 442697.45856066217),4,,49.0,2.0,submunicipality,209033.3327711363,442697.45856066217
127,127,POINT (206907.37490327348 443444.00274859555),11,,50.0,2.0,submunicipality,206907.37490327348,443444.00274859555
128,128,POINT (203606.09850666337 442561.664711484),4,,56.0,2.0,submunicipality,203606.09850666337,442561.664711484
129,129,POINT (203201.52127185377 444291.04229013866),4,,58.0,2.0,submunicipality,203201.52127185377,444291.04229013866
130,130,POINT (205411.3561919158 443505.74532452854),17,,60.0,2.0,submunicipality,205411.3561919158,443505.74532452854
131,131,POINT (204681.28335107086 445101.4165631895),7,,61.0,2.0,submunicipality,204681.28335107086,445101.4165631895
132,132,POINT (205460.44873689738 445679.4065475509),28,,62.0,2.0,submunicipality,205460.44873689738,445679.4065475509
133,133,POINT (203217.37256797726 445516.3155919656),19,,63.0,2.0,submunicipality,203217.37256797726,445516.3155919656
134,134,POINT (202594.59397670775 445479.77133483085),20,,64.0,2.0,submunicipality,202594.59397670775,445479.77133483085
135,135,POINT (201958.03448557007 446403.46044237266),14,,65.0,2.0,submunicipality,201958.03448557007,446403.46044237266
136,136,POINT (203612.6059064761 440046.0246082541),2,,67.0,3.0,submunicipality,203612.6059064761,440046.0246082541
137,137,POINT (203349.04485266458 441436.1393220979),3,,68.0,3.0,submunicipality,203349.04485266458,441436.1393220979
138,138,POINT (199235.2469348315 442820.2279092341),13,,69.0,3.0,submunicipality,199235.2469348315,442820.2279092341
139,139,POINT (198856.26574462303 441041.1426445306),7,,71.0,3.0,submunicipality,198856.26574462303,441041.1426445306
140,140,POINT (199089.5467891078 443278.4186718428),7,,73.0,3.0,submunicipality,199089.5467891078,443278.4186718428
141,141,POINT (200343.40523547045 444236.95036069164),10,,74.0,3.0,submunicipality,200343.40523547045,444236.95036069164
142,142,POINT (200446.17758291092 444869.4892865827),85,,75.0,3.0,submunicipality,200446.17758291092,444869.4892865827
143,143,POINT (199710.6109252069 444635.3108797189),64,,76.0,3.0,submunicipality,199710.6109252069,444635.3108797189
144,144,POINT (201847.54404940168 444657.32792028575),81,,77.0,3.0,submunicipality,201847.54404940168,444657.32792028575
145,145,POINT (198944.01068036474 444222.448598633),22,,78.0,3.0,submunicipality,198944.01068036474,444222.448598633
146,146,POINT (201518.46586738425 445391.6984864705),144,,79.0,3.0,submunicipality,201518.46586738425,445391.6984864705
147,147,POINT (202277.00303284632 443963.08597987215),21,,80.0,3.0,submunicipality,202277.00303284632,443963.08597987215
148,148,POINT (200920.95520237417 443185.73768316314),21,,81.0,3.0,submunicipality,200920.95520237417,443185.73768316314
149,149,POINT (202704.9675357586 442845.92404934956),13,,82.0,3.0,submunicipality,202704.9675357586,442845.92404934956
150,150,POINT (201558.6816959116 442701.15533169045),4,,83.0,3.0,submunicipality,201558.6816959116,442701.15533169045
151,151,POINT (195725.37268239656 440985.6071482507),1,,87.0,4.0,intersection,195725.37268239656,440985.6071482507
152,152,POINT (195036.05578179035 442239.9564635798),11,,89.0,4.0,submunicipality,195036.05578179035,442239.9564635798
153,153,POINT (192105.56717564623 442073.8872324065),22,,91.0,4.0,submunicipality,192105.56717564623,442073.8872324065
154,154,POINT (192889.2762892271 442300.9282537624),27,,94.0,4.0,submunicipality,192889.2762892271,442300.9282537624
155,155,POINT (194547.899839584 440960.8752266043),2,,95.0,4.0,submunicipality,194547.899839584,440960.8752266043
156,156,POINT (198446.76328914842 440658.05972814263),5,,98.0,4.0,submunicipality,198446.76328914842,440658.05972814263
157,157,POINT (195781.78703542543 442215.381130163),50,,100.0,4.0,submunicipality,195781.78703542543,442215.381130163
158,158,POINT (196625.28505924015 441683.45462371793),10,,102.0,4.0,submunicipality,196625.28505924015,441683.45462371793
159,159,POINT (193742.88528022202 442887.8880699019),53,,104.0,4.0,submunicipality,193742.88528022202,442887.8880699019
160,160,POINT (198264.5561055859 443671.2710643414),67,,105.0,5.0,submunicipality,198264.5561055859,443671.2710643414
161,161,POINT (193380.7222565624 443447.2522558872),33,,108.0,5.0,submunicipality,193380.7222565624,443447.2522558872
162,162,POINT (192180.9531306808 442727.5384231373),8,,109.0,5.0,submunicipality,192180.9531306808,442727.5384231373
163,163,POINT (193602.43538503337 444187.1026770206),25,,110.0,5.0,submunicipality,193602.43538503337,444187.1026770206
164,164,POINT (197317.79499581025 442551.8825938446),77,,113.0,5.0,submunicipality,197317.79499581025,442551.8825938446
165,165,POINT (198254.72467257173 441548.5509314519),15,,114.0,5.0,submunicipality,198254.72467257173,441548.5509314519
166,166,POINT (194677.07666296227 443789.16537145234),7,,115.0,5.0,submunicipality,194677.07666296227,443789.16537145234
167,167,POINT (193984.18605192954 444005.30810194666),8,,116.0,5.0,submunicipality,193984.18605192954,444005.30810194666
168,168,POINT (190485.53497554842 445444.1694648754),14,,120.0,6.0,submunicipality,190485.53497554842,445444.1694648754
169,169,POINT (191285.02424950135 444808.9385660412),2,,121.0,6.0,submunicipality,191285.02424950135,444808.9385660412
170,170,POINT (192118.518775615 446037.701600979),25,,122.0,6.0,submunicipality,192118.518775615,446037.701600979
171,171,POINT (190879.30760494393 443467.95800204604),5,,124.0,6.0,submunicipality,190879.30760494393,443467.95800204604
172,172,POINT (191321.04160976 442646.3512407292),8,,125.0,6.0,submunicipality,191321.04160976,442646.3512407292
173,173,POINT (191749.25866897585 443115.4791414729),14,,126.0,6.0,submunicipality,191749.25866897585,443115.4791414729
174,174,POINT (192945.71559906212 444391.6077932745),23,,127.0,6.0,submunicipality,192945.71559906212,444391.6077932745
175,175,POINT (192383.9015188171 443843.9536840246),17,,128.0,6.0,submunicipality,192383.9015188171,443843.9536840246
176,176,POINT (191948.29624977324 444109.07160820754),13,,129.0,6.0,submunicipality,191948.29624977324,444109.07160820754
177,177,POINT (191146.20934701592 448270.78390247497),8,,133.0,6.0,submunicipality,191146.20934701592,448270.78390247497
178,178,POINT (190001.5298276171 446646.1548578555),2,,134.0,6.0,submunicipality,190001.5298276171,446646.1548578555
179,179,POINT (191374.20083216554 447907.29902764194),49,,135.0,6.0,submunicipality,191374.20083216554,447907.29902764194
180,180,POINT (190908.98961098565 446666.1379139569),5,,136.0,6.0,submunicipality,190908.98961098565,446666.1379139569
181,181,POINT (193424.25089109954 446446.5752167261),280,,137.0,6.0,submunicipality,193424.25089109954,446446.5752167261
182,182,POINT (190762.02827269371 439735.45324630017),3,,146.0,7.0,submunicipality,190762.02827269371,439735.45324630017
183,183,POINT (189723.62468435147 441556.87627279013),12,,147.0,7.0,submunicipality,189723.62468435147,441556.87627279013
184,184,POINT (187271.25659837466 443636.9058745681),25,,148.0,8.0,submunicipality,187271.25659837466,443636.9058745681
185,185,POINT (189722.6873330732 442818.3307107595),15,,149.0,8.0,submunicipality,189722.6873330732,442818.3307107595
186,186,POINT (190136.02337808392 442003.80778004957),12,,150.0,8.0,submunicipality,190136.02337808392,442003.80778004957
187,187,POINT (184720.60728688206 443314.03299848863),9,,151.0,8.0,submunicipality,184720.60728688206,443314.03299848863
188,188,POINT (186466.80400181163 443631.3658509653),55,,153.0,8.0,submunicipality,186466.80400181163,443631.3658509653
189,189,POINT (187191.94532142606 442448.46328190836),5,,154.0,8.0,submunicipality,187191.94532142606,442448.46328190836
190,190,POINT (187281.53776314808 443125.87279876106),8,,155.0,8.0,submunicipality,187281.53776314808,443125.87279876106
191,191,POINT (187980.6849871644 443971.7228027829),8,,157.0,8.0,submunicipality,187980.6849871644,443971.7228027829
192,192,POINT (190445.64712151606 444093.03491746803),6,,158.0,8.0,submunicipality,190445.64712151606,444093.03491746803
193,193,POINT (190578.38846423023 443372.7083915434),18,,159.0,8.0,submunicipality,190578.38846423023,443372.7083915434
194,194,POINT (190664.2287151692 442107.05998753186),45,,160.0,8.0,submunicipality,190664.2287151692,442107.05998753186
195,195,POINT (189160.1821992866 442783.72047356766),5,,161.0,8.0,submunicipality,189160.1821992866,442783.72047356766
196,196,POINT (189923.00739115293 444917.9519734831),32,,162.0,8.0,submunicipality,189923.00739115293,444917.9519734831
197,197,POINT (182690.06305577853 451157.32888485625),3,,166.0,9.0,submunicipality,182690.06305577853,451157.32888485625
198,198,POINT (182493.6396967643 450869.1088852474),17,,168.0,9.0,submunicipality,182493.6396967643,450869.1088852474
199,199,POINT (187001.0140290756 451075.4722483934),3,,171.0,9.0,submunicipality,187001.0140290756,451075.4722483934
200,200,POINT (185065.83572045792 451732.91294603766),5,,172.0,9.0,submunicipality,185065.83572045792,451732.91294603766
